run_index,run_order_seed,arm,direction,experiment_id,topology,fault_type,window_type,threshold,window_size,wait_duration,lambda_target,replicate,effective_horizon_nominal,matched_to_count_w,feasible,infeasible_reason
152,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,20,15,320,3,20.0,,1,
187,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,20,15,320,4,20.0,,1,
259,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,20,15,320,5,20.0,,1,
20,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,20,15,5,1,20.0,,1,
51,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,20,15,5,2,20.0,,1,
246,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,20,15,5,3,20.0,,1,
280,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,20,15,5,4,20.0,,1,
110,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,20,15,5,5,20.0,,1,
137,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,20,15,80,1,20.0,,1,
190,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,20,15,80,2,20.0,,1,
193,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,20,15,80,3,20.0,,1,
225,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,20,15,80,4,20.0,,1,
205,20260811,base,,LIN-LAT-CNT-T50-W20-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,20,15,80,5,20.0,,1,
288,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,5,15,20,1,5.0,,1,
156,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,5,15,20,2,5.0,,1,
80,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,5,15,20,3,5.0,,1,
92,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,5,15,20,4,5.0,,1,
232,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L20,LINEAR,LATENCY,COUNT_BASED,50,5,15,20,5,5.0,,1,
181,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,5,15,320,1,5.0,,1,
161,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,5,15,320,2,5.0,,1,
162,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,5,15,320,3,5.0,,1,
157,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,5,15,320,4,5.0,,1,
58,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L320,LINEAR,LATENCY,COUNT_BASED,50,5,15,320,5,5.0,,1,
179,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,5,15,5,1,5.0,,1,
129,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,5,15,5,2,5.0,,1,
12,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,5,15,5,3,5.0,,1,
250,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,5,15,5,4,5.0,,1,
52,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L5,LINEAR,LATENCY,COUNT_BASED,50,5,15,5,5,5.0,,1,
5,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,5,15,80,1,5.0,,1,
104,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,5,15,80,2,5.0,,1,
206,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,5,15,80,3,5.0,,1,
209,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,5,15,80,4,5.0,,1,
109,20260811,base,,LIN-LAT-CNT-T50-W5-D15-L80,LINEAR,LATENCY,COUNT_BASED,50,5,15,80,5,5.0,,1,
105,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L20,LINEAR,LATENCY,TIME_BASED,50,10,15,20,1,200.0,,1,
286,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L20,LINEAR,LATENCY,TIME_BASED,50,10,15,20,2,200.0,,1,
111,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L20,LINEAR,LATENCY,TIME_BASED,50,10,15,20,3,200.0,,1,
155,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L20,LINEAR,LATENCY,TIME_BASED,50,10,15,20,4,200.0,,1,
217,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L20,LINEAR,LATENCY,TIME_BASED,50,10,15,20,5,200.0,,1,
287,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L320,LINEAR,LATENCY,TIME_BASED,50,10,15,320,1,3200.0,,1,
198,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L320,LINEAR,LATENCY,TIME_BASED,50,10,15,320,2,3200.0,,1,
55,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L320,LINEAR,LATENCY,TIME_BASED,50,10,15,320,3,3200.0,,1,
149,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L320,LINEAR,LATENCY,TIME_BASED,50,10,15,320,4,3200.0,,1,
226,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L320,LINEAR,LATENCY,TIME_BASED,50,10,15,320,5,3200.0,,1,
218,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L5,LINEAR,LATENCY,TIME_BASED,50,10,15,5,1,50.0,,1,
69,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L5,LINEAR,LATENCY,TIME_BASED,50,10,15,5,2,50.0,,1,
275,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L5,LINEAR,LATENCY,TIME_BASED,50,10,15,5,3,50.0,,1,
177,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L5,LINEAR,LATENCY,TIME_BASED,50,10,15,5,4,50.0,,1,
85,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L5,LINEAR,LATENCY,TIME_BASED,50,10,15,5,5,50.0,,1,
297,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L80,LINEAR,LATENCY,TIME_BASED,50,10,15,80,1,800.0,,1,
83,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L80,LINEAR,LATENCY,TIME_BASED,50,10,15,80,2,800.0,,1,
267,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L80,LINEAR,LATENCY,TIME_BASED,50,10,15,80,3,800.0,,1,
107,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L80,LINEAR,LATENCY,TIME_BASED,50,10,15,80,4,800.0,,1,
130,20260811,base,,LIN-LAT-TIM-T50-W10-D15-L80,LINEAR,LATENCY,TIME_BASED,50,10,15,80,5,800.0,,1,
144,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L20,LINEAR,LATENCY,TIME_BASED,50,20,15,20,1,400.0,,1,
1,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L20,LINEAR,LATENCY,TIME_BASED,50,20,15,20,2,400.0,,1,
299,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L20,LINEAR,LATENCY,TIME_BASED,50,20,15,20,3,400.0,,1,
37,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L20,LINEAR,LATENCY,TIME_BASED,50,20,15,20,4,400.0,,1,
283,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L20,LINEAR,LATENCY,TIME_BASED,50,20,15,20,5,400.0,,1,
87,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L320,LINEAR,LATENCY,TIME_BASED,50,20,15,320,1,6400.0,,1,
53,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L320,LINEAR,LATENCY,TIME_BASED,50,20,15,320,2,6400.0,,1,
139,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L320,LINEAR,LATENCY,TIME_BASED,50,20,15,320,3,6400.0,,1,
127,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L320,LINEAR,LATENCY,TIME_BASED,50,20,15,320,4,6400.0,,1,
72,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L320,LINEAR,LATENCY,TIME_BASED,50,20,15,320,5,6400.0,,1,
62,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L5,LINEAR,LATENCY,TIME_BASED,50,20,15,5,1,100.0,,1,
131,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L5,LINEAR,LATENCY,TIME_BASED,50,20,15,5,2,100.0,,1,
174,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L5,LINEAR,LATENCY,TIME_BASED,50,20,15,5,3,100.0,,1,
200,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L5,LINEAR,LATENCY,TIME_BASED,50,20,15,5,4,100.0,,1,
279,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L5,LINEAR,LATENCY,TIME_BASED,50,20,15,5,5,100.0,,1,
207,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L80,LINEAR,LATENCY,TIME_BASED,50,20,15,80,1,1600.0,,1,
147,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L80,LINEAR,LATENCY,TIME_BASED,50,20,15,80,2,1600.0,,1,
215,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L80,LINEAR,LATENCY,TIME_BASED,50,20,15,80,3,1600.0,,1,
211,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L80,LINEAR,LATENCY,TIME_BASED,50,20,15,80,4,1600.0,,1,
59,20260811,base,,LIN-LAT-TIM-T50-W20-D15-L80,LINEAR,LATENCY,TIME_BASED,50,20,15,80,5,1600.0,,1,
35,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L20,LINEAR,LATENCY,TIME_BASED,50,5,15,20,1,100.0,,1,
234,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L20,LINEAR,LATENCY,TIME_BASED,50,5,15,20,2,100.0,,1,
114,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L20,LINEAR,LATENCY,TIME_BASED,50,5,15,20,3,100.0,,1,
9,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L20,LINEAR,LATENCY,TIME_BASED,50,5,15,20,4,100.0,,1,
13,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L20,LINEAR,LATENCY,TIME_BASED,50,5,15,20,5,100.0,,1,
31,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L320,LINEAR,LATENCY,TIME_BASED,50,5,15,320,1,1600.0,,1,
18,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L320,LINEAR,LATENCY,TIME_BASED,50,5,15,320,2,1600.0,,1,
151,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L320,LINEAR,LATENCY,TIME_BASED,50,5,15,320,3,1600.0,,1,
236,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L320,LINEAR,LATENCY,TIME_BASED,50,5,15,320,4,1600.0,,1,
138,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L320,LINEAR,LATENCY,TIME_BASED,50,5,15,320,5,1600.0,,1,
222,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L5,LINEAR,LATENCY,TIME_BASED,50,5,15,5,1,25.0,,1,
229,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L5,LINEAR,LATENCY,TIME_BASED,50,5,15,5,2,25.0,,1,
254,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L5,LINEAR,LATENCY,TIME_BASED,50,5,15,5,3,25.0,,1,
300,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L5,LINEAR,LATENCY,TIME_BASED,50,5,15,5,4,25.0,,1,
201,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L5,LINEAR,LATENCY,TIME_BASED,50,5,15,5,5,25.0,,1,
77,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L80,LINEAR,LATENCY,TIME_BASED,50,5,15,80,1,400.0,,1,
189,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L80,LINEAR,LATENCY,TIME_BASED,50,5,15,80,2,400.0,,1,
93,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L80,LINEAR,LATENCY,TIME_BASED,50,5,15,80,3,400.0,,1,
116,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L80,LINEAR,LATENCY,TIME_BASED,50,5,15,80,4,400.0,,1,
96,20260811,base,,LIN-LAT-TIM-T50-W5-D15-L80,LINEAR,LATENCY,TIME_BASED,50,5,15,80,5,400.0,,1,
67,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W100-D15-L20-MH100,LINEAR,LATENCY,COUNT_BASED,50,100,15,20,1,100.0,5,1,
261,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W100-D15-L20-MH100,LINEAR,LATENCY,COUNT_BASED,50,100,15,20,2,100.0,5,1,
296,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W100-D15-L20-MH100,LINEAR,LATENCY,COUNT_BASED,50,100,15,20,3,100.0,5,1,
126,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W100-D15-L20-MH100,LINEAR,LATENCY,COUNT_BASED,50,100,15,20,4,100.0,5,1,
142,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W100-D15-L20-MH100,LINEAR,LATENCY,COUNT_BASED,50,100,15,20,5,100.0,5,1,
271,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W100-D15-L5-MH100,LINEAR,LATENCY,COUNT_BASED,50,100,15,5,1,100.0,20,1,
220,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W100-D15-L5-MH100,LINEAR,LATENCY,COUNT_BASED,50,100,15,5,2,100.0,20,1,
98,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W100-D15-L5-MH100,LINEAR,LATENCY,COUNT_BASED,50,100,15,5,3,100.0,20,1,
3,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W100-D15-L5-MH100,LINEAR,LATENCY,COUNT_BASED,50,100,15,5,4,100.0,20,1,
125,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W100-D15-L5-MH100,LINEAR,LATENCY,COUNT_BASED,50,100,15,5,5,100.0,20,1,
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W1600-D15-L320-MH1600,LINEAR,LATENCY,COUNT_BASED,50,1600,15,320,1,1600.0,5,0,W = lambda*T = 1600 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W1600-D15-L320-MH1600,LINEAR,LATENCY,COUNT_BASED,50,1600,15,320,2,1600.0,5,0,W = lambda*T = 1600 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W1600-D15-L320-MH1600,LINEAR,LATENCY,COUNT_BASED,50,1600,15,320,3,1600.0,5,0,W = lambda*T = 1600 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W1600-D15-L320-MH1600,LINEAR,LATENCY,COUNT_BASED,50,1600,15,320,4,1600.0,5,0,W = lambda*T = 1600 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W1600-D15-L320-MH1600,LINEAR,LATENCY,COUNT_BASED,50,1600,15,320,5,1600.0,5,0,W = lambda*T = 1600 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W1600-D15-L80-MH1600,LINEAR,LATENCY,COUNT_BASED,50,1600,15,80,1,1600.0,20,0,W = lambda*T = 1600 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W1600-D15-L80-MH1600,LINEAR,LATENCY,COUNT_BASED,50,1600,15,80,2,1600.0,20,0,W = lambda*T = 1600 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W1600-D15-L80-MH1600,LINEAR,LATENCY,COUNT_BASED,50,1600,15,80,3,1600.0,20,0,W = lambda*T = 1600 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W1600-D15-L80-MH1600,LINEAR,LATENCY,COUNT_BASED,50,1600,15,80,4,1600.0,20,0,W = lambda*T = 1600 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W1600-D15-L80-MH1600,LINEAR,LATENCY,COUNT_BASED,50,1600,15,80,5,1600.0,20,0,W = lambda*T = 1600 calls exceeds the 1000-call slidingWindowSize ceiling
112,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W200-D15-L20-MH200,LINEAR,LATENCY,COUNT_BASED,50,200,15,20,1,200.0,10,1,
290,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W200-D15-L20-MH200,LINEAR,LATENCY,COUNT_BASED,50,200,15,20,2,200.0,10,1,
65,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W200-D15-L20-MH200,LINEAR,LATENCY,COUNT_BASED,50,200,15,20,3,200.0,10,1,
284,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W200-D15-L20-MH200,LINEAR,LATENCY,COUNT_BASED,50,200,15,20,4,200.0,10,1,
270,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W200-D15-L20-MH200,LINEAR,LATENCY,COUNT_BASED,50,200,15,20,5,200.0,10,1,
75,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W25-D15-L5-MH25,LINEAR,LATENCY,COUNT_BASED,50,25,15,5,1,25.0,5,1,
159,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W25-D15-L5-MH25,LINEAR,LATENCY,COUNT_BASED,50,25,15,5,2,25.0,5,1,
249,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W25-D15-L5-MH25,LINEAR,LATENCY,COUNT_BASED,50,25,15,5,3,25.0,5,1,
281,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W25-D15-L5-MH25,LINEAR,LATENCY,COUNT_BASED,50,25,15,5,4,25.0,5,1,
276,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W25-D15-L5-MH25,LINEAR,LATENCY,COUNT_BASED,50,25,15,5,5,25.0,5,1,
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W3200-D15-L320-MH3200,LINEAR,LATENCY,COUNT_BASED,50,3200,15,320,1,3200.0,10,0,W = lambda*T = 3200 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W3200-D15-L320-MH3200,LINEAR,LATENCY,COUNT_BASED,50,3200,15,320,2,3200.0,10,0,W = lambda*T = 3200 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W3200-D15-L320-MH3200,LINEAR,LATENCY,COUNT_BASED,50,3200,15,320,3,3200.0,10,0,W = lambda*T = 3200 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W3200-D15-L320-MH3200,LINEAR,LATENCY,COUNT_BASED,50,3200,15,320,4,3200.0,10,0,W = lambda*T = 3200 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W3200-D15-L320-MH3200,LINEAR,LATENCY,COUNT_BASED,50,3200,15,320,5,3200.0,10,0,W = lambda*T = 3200 calls exceeds the 1000-call slidingWindowSize ceiling
170,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W400-D15-L20-MH400,LINEAR,LATENCY,COUNT_BASED,50,400,15,20,1,400.0,20,1,
43,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W400-D15-L20-MH400,LINEAR,LATENCY,COUNT_BASED,50,400,15,20,2,400.0,20,1,
182,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W400-D15-L20-MH400,LINEAR,LATENCY,COUNT_BASED,50,400,15,20,3,400.0,20,1,
298,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W400-D15-L20-MH400,LINEAR,LATENCY,COUNT_BASED,50,400,15,20,4,400.0,20,1,
106,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W400-D15-L20-MH400,LINEAR,LATENCY,COUNT_BASED,50,400,15,20,5,400.0,20,1,
100,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W400-D15-L80-MH400,LINEAR,LATENCY,COUNT_BASED,50,400,15,80,1,400.0,5,1,
214,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W400-D15-L80-MH400,LINEAR,LATENCY,COUNT_BASED,50,400,15,80,2,400.0,5,1,
108,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W400-D15-L80-MH400,LINEAR,LATENCY,COUNT_BASED,50,400,15,80,3,400.0,5,1,
97,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W400-D15-L80-MH400,LINEAR,LATENCY,COUNT_BASED,50,400,15,80,4,400.0,5,1,
64,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W400-D15-L80-MH400,LINEAR,LATENCY,COUNT_BASED,50,400,15,80,5,400.0,5,1,
185,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W50-D15-L5-MH50,LINEAR,LATENCY,COUNT_BASED,50,50,15,5,1,50.0,10,1,
295,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W50-D15-L5-MH50,LINEAR,LATENCY,COUNT_BASED,50,50,15,5,2,50.0,10,1,
33,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W50-D15-L5-MH50,LINEAR,LATENCY,COUNT_BASED,50,50,15,5,3,50.0,10,1,
78,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W50-D15-L5-MH50,LINEAR,LATENCY,COUNT_BASED,50,50,15,5,4,50.0,10,1,
175,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W50-D15-L5-MH50,LINEAR,LATENCY,COUNT_BASED,50,50,15,5,5,50.0,10,1,
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W6400-D15-L320-MH6400,LINEAR,LATENCY,COUNT_BASED,50,6400,15,320,1,6400.0,20,0,W = lambda*T = 6400 calls exceeds the 1000-call slidingWindowSize ceiling
,20260811,matched_horizon,W_from_T,LIN-LAT-CNT-T50-W6400-D15-L320-MH6400,LINEAR,LATENCY,COUNT_BASED,50,6400,15,320,2,6400.0,20,0,W = lambda*T = 6400 calls exceeds the 1000-call slidingWindowSize ceiling
