experiment_id,topology,fault_type,window_type,threshold,window_size,wait_duration,permitted_calls_half_open,environment,mode,replicate,run_timestamp,blast_radius,time_to_open,time_to_recover,error_rate,throughput_loss,real_blast_radius,leg_failure_rates,precondition_ok,precondition_fail_reason,readiness_wait_s,cb_state_pre,buffered_calls_pre,warmup_requests,warmup_duration_s,run_order_seed,run_index,load_concurrency,lambda_target,lambda_achieved,lambda_cv,lambda_deviation_flag,effective_horizon,machine_id,half_open_probe_timed_out,half_open_probe_deadline_s,excluded_reason
LIN-LAT-TIM-T50-W20-D5,LINEAR,LATENCY,TIME_BASED,50,20,5,5,LOCAL,full,1,2026-09-16T05:55:46Z,0.25,11.88,32.861,0.6371,0.8358,0.25,order-service:0.6371;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,28.07,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,21.443,2080763661,11,45.0,10.0,8.6437,1.5503,False,172.8746,jay-mac,False,75.0,
LIN-LAT-CNT-T50-W10-D15,LINEAR,LATENCY,COUNT_BASED,50,10,15,5,LOCAL,full,2,2026-09-16T06:47:56Z,,,,,,,,False,READINESS_TIMEOUT,3072.156,,,,,2080763661,12,,,,,,,jay-mac,,,
LIN-LAT-CNT-T50-W5-D15,LINEAR,LATENCY,COUNT_BASED,50,5,15,5,LOCAL,full,2,2026-09-16T07:34:30Z,,,,,,,,False,READINESS_TIMEOUT,2766.714,,,,,2080763661,13,,,,,,,jay-mac,,,
LIN-LAT-CNT-T50-W20-D5,LINEAR,LATENCY,COUNT_BASED,50,20,5,5,LOCAL,full,1,2026-09-16T07:52:49Z,,,,,,,,False,READINESS_TIMEOUT,1072.425,,,,,2080763661,14,,,,,,,jay-mac,,,
LIN-LAT-CNT-T50-W5-D5,LINEAR,LATENCY,COUNT_BASED,50,5,5,5,LOCAL,full,1,2026-09-16T08:30:56Z,0.25,3.378,6.13,0.2,0.7381,0.0,order-service:0.2000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,28.237,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,20.708,2080763661,15,45.0,10.0,9.6921,0.0181,False,5.0,jay-mac,False,75.0,
LIN-LAT-TIM-T50-W5-D30,LINEAR,LATENCY,TIME_BASED,50,5,30,5,LOCAL,full,2,2026-09-16T08:33:27Z,0.25,3.536,64.992,0.9133,0.957,0.25,order-service:0.9133;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,30.419,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,20.752,2080763661,16,45.0,10.0,9.6436,0.033,False,48.2182,jay-mac,False,150.0,
LIN-LAT-TIM-T50-W20-D5,LINEAR,LATENCY,TIME_BASED,50,20,5,5,LOCAL,full,2,2026-09-16T09:18:45Z,0.25,11.864,704.564,0.6371,0.9908,0.25,order-service:0.6371;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,30.322,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,922.046,2080763661,17,45.0,10.0,0.4894,17.7133,True,9.7882,jay-mac,False,75.0,RECOVERY_TIMEOUT_HANG+LAMBDA_DEVIATION
LIN-LAT-TIM-T50-W5-D5,LINEAR,LATENCY,TIME_BASED,50,5,5,5,LOCAL,full,2,2026-09-16T09:20:29Z,0.25,3.574,23.475,0.775,0.8885,0.25,order-service:0.7750;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,24.282,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,20.725,2080763661,18,45.0,10.0,9.6505,0.0174,False,48.2527,jay-mac,False,75.0,
LIN-LAT-TIM-T50-W10-D5,LINEAR,LATENCY,TIME_BASED,50,10,5,5,LOCAL,full,2,2026-09-16T09:22:15Z,0.25,6.778,23.414,0.696,0.8511,0.25,order-service:0.6960;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,23.374,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,20.773,2080763661,19,45.0,10.0,9.6694,0.0177,False,96.6937,jay-mac,False,75.0,
LIN-LAT-TIM-T50-W10-D15,LINEAR,LATENCY,TIME_BASED,50,10,15,5,LOCAL,full,2,2026-09-16T09:24:13Z,0.25,6.774,34.91,0.8029,0.9026,0.25,order-service:0.8029;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,23.326,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,20.747,2080763661,20,45.0,10.0,9.6312,0.0164,False,96.3116,jay-mac,False,105.0,
LIN-LAT-CNT-T50-W20-D5,LINEAR,LATENCY,COUNT_BASED,50,20,5,5,LOCAL,full,2,2026-09-16T09:25:47Z,0.25,4.008,6.178,0.35,0.7149,0.0,order-service:0.3500;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,31.224,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,20.723,2080763661,21,45.0,10.0,9.6553,0.017,False,20.0,jay-mac,False,75.0,
LIN-LAT-TIM-T50-W5-D30,LINEAR,LATENCY,TIME_BASED,50,5,30,5,LOCAL,full,1,2026-09-16T09:28:17Z,0.25,3.766,71.954,0.9067,0.9535,0.25,order-service:0.9067;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,21.711,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,20.725,2080763661,22,45.0,10.0,9.6419,0.0169,False,48.2094,jay-mac,False,150.0,
LIN-LAT-CNT-T50-W20-D30,LINEAR,LATENCY,COUNT_BASED,50,20,30,5,LOCAL,full,2,2026-09-16T09:30:20Z,,,,,,,,False,READINESS_TIMEOUT,96.373,,,,,2080763661,23,,,,,,,jay-mac,,,
LIN-LAT-TIM-T50-W5-D15,LINEAR,LATENCY,TIME_BASED,50,5,15,5,LOCAL,full,1,2026-09-16T09:35:25Z,0.25,3.98,34.313,0.8633,0.9332,0.25,order-service:0.8633;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,44.572,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,21.83,2080763661,24,45.0,10.0,9.3923,0.0348,False,46.9616,jay-mac,False,105.0,
LIN-LAT-CNT-T50-W10-D30,LINEAR,LATENCY,COUNT_BASED,50,10,30,5,LOCAL,full,1,2026-09-16T09:37:54Z,,,,,,,,False,READINESS_TIMEOUT,122.5,,,,,2080763661,25,,,,,,,jay-mac,,,
LIN-LAT-CNT-T50-W10-D5,LINEAR,LATENCY,COUNT_BASED,50,10,5,5,LOCAL,full,1,2026-09-16T10:40:34Z,,,,,,,,False,READINESS_TIMEOUT,3732.396,,,,,2080763661,26,,,,,,,jay-mac,,,
LIN-LAT-TIM-T50-W20-D15,LINEAR,LATENCY,TIME_BASED,50,20,15,5,LOCAL,full,2,2026-09-16T10:59:01Z,,,,,,,,False,READINESS_TIMEOUT,1078.624,,,,,2080763661,27,,,,,,,jay-mac,,,
LIN-LAT-TIM-T50-W10-D5,LINEAR,LATENCY,TIME_BASED,50,10,5,5,LOCAL,full,1,2026-09-16T11:33:59Z,,,,,,,,False,READINESS_TIMEOUT,652.206,,,,,2080763661,28,,,,,,,jay-mac,,,
LIN-LAT-TIM-T50-W20-D30,LINEAR,LATENCY,TIME_BASED,50,20,30,5,LOCAL,full,1,2026-09-16T11:52:33Z,,,,,,,,False,READINESS_TIMEOUT,1086.216,,,,,2080763661,29,,,,,,,jay-mac,,,
LIN-LAT-TIM-T50-W20-D15,LINEAR,LATENCY,TIME_BASED,50,20,15,5,LOCAL,full,1,2026-09-16T13:36:42Z,0.25,11.857,2657.107,0.72,0.9975,0.25,order-service:0.7200;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,29.382,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,989.369,2080763661,30,45.0,10.0,0.1693,12.1939,True,3.3853,jay-mac,False,105.0,RECOVERY_TIMEOUT_HANG+LAMBDA_DEVIATION
LIN-LAT-TIM-T50-W5-D15,LINEAR,LATENCY,TIME_BASED,50,5,15,5,LOCAL,full,2,2026-09-16T13:40:28Z,0.25,4.192,35.33,0.85,0.9265,0.25,order-service:0.8500;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,19.672,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,20.789,2080763661,31,45.0,10.0,9.6419,0.0163,False,48.2097,jay-mac,False,105.0,
LIN-LAT-CNT-T50-W5-D15,LINEAR,LATENCY,COUNT_BASED,50,5,15,5,LOCAL,full,1,2026-09-16T13:42:07Z,0.25,3.323,16.448,0.2,0.7365,0.0,order-service:0.2000;inventory-service:0.0000;payment-service:0.0000;notification-service:0.0000,True,,19.507,gateway:orderServiceCB=CLOSED;gateway:inventoryServiceCB=CLOSED;gateway:paymentServiceCB=CLOSED;order:inventoryServiceCB=CLOSED;order:sharedDbCB=CLOSED;inventory:paymentServiceCB=CLOSED;inventory:sharedDbCB=CLOSED;payment:notificationServiceCB=CLOSED;payment:sharedDbCB=CLOSED;notification:sharedDbCB=CLOSED,gateway:orderServiceCB=0;gateway:inventoryServiceCB=0;gateway:paymentServiceCB=0;order:inventoryServiceCB=0;order:sharedDbCB=0;inventory:paymentServiceCB=0;inventory:sharedDbCB=0;payment:notificationServiceCB=0;payment:sharedDbCB=0;notification:sharedDbCB=0,200.0,20.796,2080763661,32,45.0,10.0,9.6473,0.0165,False,5.0,jay-mac,False,105.0,
